Feature,Date de début,Date de livraison,Description détaillée,Priorité,Responsable,Statut,Notes techniques,Type,Projet
"🟡 IMPORTANT - Mise en place Backlog structuré Notion","2025-01-XX","2025-01-XX (cette semaine)","Créer backlog Notion structuré avec colonnes: Priorité, Date début, Feature, Description, Statut, Responsable, Date livraison. Structure simple, tronc commun qui ne bouge pas. Réunion hebdomadaire: Mardi 11h30-12h30. Mise à jour obligatoire avant chaque réunion. Voir BACKLOG_STRUCTURE.md pour structure complète.",🟡 IMPORTANT,Florian,À faire,"Notion: tableau avec colonnes définies. Structure: simple, pas de complexification. Vues: tableau, timeline, board (chacun peut changer vue mais pas structure). Partage: accès Nicolas + Florian. Réunion: mardi 11h30-12h30.",Organisation,Agilotext
"🟡 IMPORTANT - Templating HTML - Structure","2025-01-XX","2025-01-XX (cette semaine)","Créer structure HTML pour templating avec Cursor. Analyser exemples envoyés par Nicolas. Créer structure HTML, Nicolas valide, intégrer dans système. À faire rapidement pour gagner du temps.",🟡 IMPORTANT,Florian,À faire,"Structure HTML: templates réutilisables. Cursor: utiliser pour générer rapidement. Validation: Nicolas valide structure. Intégration: dans système existant.",Feature,Agilotext
"Changer le mail compte rendu (inclure dans mail, pas en PJ)","2025-02-15","2025-02-15","Inclure le compte-rendu directement dans le mail (pas en pièce jointe), avec lien. À finaliser - en cours depuis février 2024.",🔥🔥,Florian,En cours,"Email: inclure contenu CR dans body email. Lien: vers page Webflow ou PDF. Format: HTML email avec style Agilotext.",Feature,Agilotext
"Gérer erreur upload fichier 130MB","2025-02-15","","ERR_HTTP2_PROTOCOL_ERROR pour fichiers > 130MB. À prioriser si erreur fréquente. Analyser cause, implémenter solution (chunking ou compression).",🔥,Florian,À faire,"Erreur: ERR_HTTP2_PROTOCOL_ERROR. Cause: probablement timeout ou limite taille. Solution: chunking upload ou compression avant upload. Test: fichiers 130MB+.",Bug,Agilotext
"Faire une FAQ complète","2025-02-15","","Questions et réponses complètes. À finaliser - en cours depuis février 2024. Structurer par catégories: Général, Technique, Tarifs, Utilisation.",🔥🔥,Florian,En cours,"FAQ: structurer par catégories. Questions: les plus fréquentes. Réponses: claires et concises. Mise à jour: régulière selon retours clients.",Documentation,Agilotext
"Vérifier modification adresse mail et impact historique","2025-02-15","","Plutôt V2 avec token ID unique. Analyser impact changement email sur historique transcripts. Implémenter système token ID unique si nécessaire.",🔥,Florian,À faire,"Token ID: unique par utilisateur. Migration: analyser impact historique. V2: nouvelle architecture avec token ID. Test: changement email + vérification historique.",Feature,Agilotext
"Intégrer le code dans Webflow pour cacher","2025-02-15","","Intégrer code dans Webflow pour cacher certains éléments selon contexte. À définir quels éléments cacher et dans quels contextes.",🔥,Florian,À faire,"Webflow: intégrer code custom. Cacher: éléments selon édition (free/pro/ent) ou contexte. Test: vérifier cacher/afficher selon règles.",Feature,Agilotext
"Gérer tous les emails Memberstack (achat email ?!!)","","","Gérer tous les emails automatiques Memberstack. Vérifier templates emails, personnalisation, désactivation si nécessaire. À analyser quels emails sont envoyés et comment les gérer.",🔥🔥,Florian,À faire,"Memberstack: analyser emails automatiques. Templates: vérifier et personnaliser. Désactivation: permettre désactiver certains emails. RGPD: respecter consentements.",Feature,Agilotext
"Rajouter Option Anonymiser","","","Anonymisation automatique des documents PDF. OCR + détection noms/entités. À prioriser pour usages juridiques. FUSIONNER avec ligne 57 (Anonymisation automatique PDF).",🔥🔥,Florian,À faire,"OCR: détecter texte dans PDF. Détection: noms, entités, données sensibles. Anonymisation: remplacer par [NOM], [ENTITÉ], etc. Test: PDF avec noms/entités.",Feature,Agilotext
"Fonctionnalité: Intégration Automatique Agilotext aux Réunions en Ligne","","","Intégration automatique Google Meet, Zoom, Microsoft Teams via comptes utilisateurs. Participation automatique réunions planifiées (calendriers), enregistrement audio, transcription automatique. Transcriptions stockées sur compte Agilotext. À prioriser selon demande clients.",🔥🔥🔥,Florian,À faire,"API: Google Meet, Zoom, Teams. Calendrier: lire réunions planifiées. Enregistrement: automatique lors réunion. Transcription: automatique après réunion. Stockage: sur compte Agilotext utilisateur.",Feature,Agilotext
"Intégration d'Agilotext avec outils tiers via Rollout","","","Rollout = alternative open source à Zapier. Intégrations natives personnalisables sous notre marque. Plateformes: Notion, HubSpot. Composants UI prêts à l'emploi. FUSIONNER avec ligne 98 (Make.com/N8N) - voir tâche URGENT #1. Lien: https://rollout.com/",🔥🔥🔥,Florian,À faire,"Rollout: alternative open source Zapier. Intégrations: Notion, HubSpot, autres. UI: composants prêts à l'emploi. Personnalisation: sous marque Agilotext. Documentation: créer guide intégration.",Feature,Agilotext
"Recharger le CR car pas assez pertinent (1 seul fois en Pro)","","","Permettre de régénérer le compte-rendu si pas assez pertinent. Limite: 1 seule fois en Pro. Interface: bouton 'Régénérer compte-rendu' avec limite affichée. NOTE: Cette tâche est différente de la nouvelle tâche URGENT 'Remplacer/relancer plusieurs comptes-rendus différents' qui permet de changer de MODÈLE, pas juste régénérer le même.",🔥🔥🔥,Florian,À faire,"Backend: API régénération CR avec limite. Frontend: bouton avec compteur (X régénérations restantes). Limite: 1 en Pro, plus en Business. Test: vérifier limite et régénération. Différence: régénération même modèle vs changement modèle (voir tâche URGENT nouvelle).",Feature,Agilotext
"Cryptage renforcé des prompts et résultats","","","Vérifier si prompts et outputs sont chiffrés côté client ou en transit. Ajouter chiffrement explicite si exigé par clients sensibles (ex: avocats). Audit sécurité, implémenter chiffrement si nécessaire.",🔥🔥🔥,Nicolas,À faire,"Audit: vérifier chiffrement actuel. Chiffrement: AES-256 ou équivalent. Transit: HTTPS obligatoire. Stockage: chiffrer prompts et résultats si demandé. Documentation: expliquer sécurité clients.",Sécurité,Agilotext
"Ajout de documents de référence dans les prompts","","","Permettre d'uploader un modèle (ex: PV d'AG, modèle de contrat) comme pièce jointe associée au prompt. Le modèle sert de référence pour générer le compte-rendu. Interface: upload fichier lors création prompt.",🔥🔥🔥,Florian,À faire,"Upload: permettre upload fichier (PDF, DOCX, TXT). Stockage: stocker fichier référence. Prompt: associer fichier au prompt. Génération: utiliser fichier comme référence pour CR. Test: upload + génération CR avec référence.",Feature,Agilotext
"Anonymisation automatique des documents PDF","","","OCR + détection noms/entités dans PDF. À prioriser pour usages juridiques. Inspiré des fonctions proposées par Naix. FUSIONNER avec ligne 40 (Rajouter Option Anonymiser).",🔥🔥🔥,Nicolas,À faire,"OCR: extraire texte PDF. Détection: noms propres, entités, données sensibles. Anonymisation: remplacer par placeholders. Export: PDF anonymisé. Test: PDF avec données sensibles.",Feature,Agilotext
"Guide - Aide tour des features (rapport UX Key)","","","Créer guide interactif / tour des features pour nouveaux utilisateurs. Aide contextuelle, tooltips, popups explicatives. Basé sur rapport UX Key. À finaliser - en cours.",🔥🔥🔥,Florian,En cours,"Guide: tour interactif features. Tooltips: explications contextuelles. Popups: étapes guidées. UX: basé sur rapport Key. Test: nouveaux utilisateurs.",Documentation,Agilotext
"Ajouter business feature: cocher tics de language oui ou non","","","Permettre de choisir si on veut inclure ou non les tics de language dans la transcription (ex: 'euh', 'hum', etc.). Option dans paramètres Business. Case à cocher: 'Inclure tics de language' (oui/non).",🔥🔥🔥,Nicolas,À faire,"Backend: paramètre include_fillers (boolean). Frontend: checkbox dans paramètres Business. Transcription: filtrer ou inclure selon paramètre. Test: avec/sans tics de language.",Feature,Agilotext
"Super compte rendu ⇒ Business (même 40 pages !)","","","Permettre de générer des comptes-rendu très détaillés (jusqu'à 40 pages) pour Business. Option: 'Compte-rendu détaillé' vs 'Compte-rendu standard'. Utiliser prompts plus détaillés pour Business.",🔥🔥🔥,Nicolas,À faire,"Backend: prompt détaillé pour Business. Frontend: option 'Compte-rendu détaillé' (Business uniquement). Limite: jusqu'à 40 pages. Test: génération CR détaillé 40 pages.",Feature,Agilotext
"Ajouter pièce jointe pour chaque lancement CR","","","Permettre d'ajouter une pièce jointe (fichier) lors du lancement de génération de compte-rendu. Le fichier sert de contexte supplémentaire pour génération CR. Interface: upload fichier avant génération.",🔥🔥🔥,Florian,À faire,"Upload: permettre upload fichier avant génération CR. Stockage: stocker fichier temporairement. Génération: utiliser fichier comme contexte. Formats: PDF, DOCX, TXT. Test: upload + génération avec PJ.",Feature,Agilotext
"Fonctionnalité complémentaire – Pop-up contextuelle à l'activation enregistrement","","","Afficher pop-up contextuelle lors de l'activation de l'enregistrement. Rappels: dire son nom, contexte réunion, etc. Pop-up non intrusive, fermable. Aide utilisateur à mieux utiliser l'outil.",🔥🔥🔥,Florian,À faire,"Pop-up: afficher lors activation enregistrement. Contenu: rappels (nom, contexte). Design: non intrusif, fermable. Timing: une fois par session ou selon préférences. Test: affichage + fermeture.",Feature,Agilotext
"Passer en business quand on est en free","","","Permettre upgrade direct de Free vers Business depuis l'interface. Bouton 'Passer à Business' avec modal explicatif avant/après. Intégration Memberstack pour changement plan.",🔥🔥🔥,Florian,À faire,"Interface: bouton 'Passer à Business'. Modal: explication avant/après upgrade. Memberstack: intégration changement plan. Test: upgrade Free → Business.",Feature,Agilotext
"Auto-prompt recommender","","","Système de recommandation automatique de prompts selon contexte. Analyser transcript, suggérer prompts pertinents. Interface: suggestions prompts dans panneau latéral. Apprentissage selon usage utilisateur.",🔥🔥🔥,Nicolas,À faire,"IA: analyser transcript pour suggérer prompts. Interface: panneau suggestions. Apprentissage: selon historique utilisateur. Test: suggestions pertinentes selon contexte.",Feature,Agilotext
"Speaker Intelligence dynamique","","","Améliorer détection et différenciation automatique des locuteurs. Intelligence dynamique pour mieux identifier et nommer speakers. Apprentissage selon patterns vocaux.",🔥🔥🔥,Nicolas,À faire,"IA: améliorer détection speakers. Apprentissage: patterns vocaux. Interface: meilleure différenciation speakers. Test: audio multi-speakers.",Feature,Agilotext
"Templates & sorties flexibles","","","Permettre de créer et utiliser templates personnalisés pour comptes-rendus. Sorties flexibles: différents formats selon template. Bibliothèque templates partagés (Business).",🔥🔥🔥,Florian,À faire,"Templates: créer, éditer, partager. Formats: différents selon template. Bibliothèque: templates partagés Business. Test: création + utilisation templates.",Feature,Agilotext
"Newsletter à faire","","","Créer et envoyer newsletter régulière aux utilisateurs. Contenu: nouvelles features, tips, cas d'usage. À finaliser - en cours. Outil: Mailchimp ou équivalent.",🔥🔥🔥,Florian,En cours,"Newsletter: créer template. Contenu: features, tips, cas d'usage. Fréquence: mensuelle ou bimensuelle. Outil: Mailchimp ou SendGrid. Test: envoi test.",Marketing,Agilotext
"Interroger son transcript et discuter (exemple Gauthier)","","","Fonctionnalité Q&A conversationnel sur transcript. Permettre de poser questions sur transcript, obtenir réponses contextuelles. Exemple: Gauthier. Panneau latéral avec questions suggérées + prompt libre.",🔥🔥🔥,Nicolas,À faire,"Q&A: questions sur transcript. IA: réponses contextuelles. Interface: panneau latéral. Citations: temporelles cliquables. Test: questions variées sur transcript.",Feature,Agilotext
"Bug compte rendu téléphone","","","Corriger bug spécifique compte-rendu pour audio téléphone. Analyser cause, implémenter correctif. Tester avec différents types d'appels téléphoniques.",🔥🔥🔥,Nicolas,À faire,"Bug: analyser cause spécifique téléphone. Correctif: implémenter solution. Test: différents types appels téléphoniques. Vérification: CR correct après correctif.",Bug,Agilotext
"Réfléchir à fonctionnalité Krips (audio/vidéo en fond)","","","Analyser fonctionnalité Krips qui prend en fond l'audio/vidéo. Évaluer faisabilité, intérêt utilisateurs, implémentation. À prioriser selon demande. En cours d'analyse.",🔥🔥🔥,Florian,En cours,"Krips: analyser fonctionnalité. Faisabilité: évaluer implémentation. Intérêt: sondage utilisateurs. Priorité: selon demande clients.",Recherche,Agilotext
"CGU/ToS à la 1ère connexion (bloquant)","2025-08-28","","Écran unique 'J'accepte' (horodaté, IP/UA). Memberstack terms_accepted_at. Gating global si vide. Bloquant: impossible d'utiliser sans accepter. Conformité légale.",🔥🔥🔥,Florian,À faire,"CGU: écran acceptation. Horodatage: date + heure acceptation. IP/UA: enregistrer pour traçabilité. Memberstack: champ terms_accepted_at. Gating: bloquer si non accepté.",Légal,Agilotext
"Barre Rechercher / Remplacer (Tiptap)","2025-09-01","","Barre persistante dans éditeur transcript: recherche, suivant/précédent, options (casse/mot entier/diacritiques/regex), Portée (tout/sélection/temps/locuteur), Remplacer / Tout remplacer, Undo, journal remplacements, propagation CR/exports, suggestion glossaire.",🔥🔥🔥,Florian,À faire,"Tiptap: intégrer barre recherche/remplacer. Options: casse, mot entier, diacritiques, regex. Portée: tout, sélection, temps, locuteur. Undo: historique remplacements. Test: recherche/remplacer efficace.",Feature,Agilotext
"Renommer les locuteurs (bulk)","","","Action 'Renommer Speaker A → Gérald (15 occurrences)' + recalcul en-têtes, métadonnées & exports. Renommage en masse de tous les segments d'un même speaker. Interface: sélection speaker + nouveau nom.",🔥🔥🔥,Florian,À faire,"Bulk: renommer tous segments même speaker. Interface: sélection + nouveau nom. Recalcul: en-têtes, métadonnées, exports. Test: renommage 15+ occurrences.",Feature,Agilotext
"Q&A conversationnel sur transcript","","","Panneau latéral: questions suggérées (Actions/Décisions/Dates/Noms), prompt libre, citations temporelles cliquables. Associer transcript_id aux requêtes (API Nicolas). Voir aussi ligne 74 (Interroger transcript).",🔥🔥🔥,Nicolas,À faire,"Panneau: latéral avec Q&A. Questions: suggérées (Actions, Décisions, Dates, Noms). Citations: temporelles cliquables. API: associer transcript_id. Test: questions variées.",Feature,Agilotext
"Desktop Electron — MVP visio","","","Win/Mac, sélection sources, compteur, Start/Stop, upload sendAudio. UI minimaliste, un seul écran (pas d'allers-retours). Note 'bêta'. Application desktop légère pour enregistrement.",🔥🔥🔥,Florian,À faire,"Electron: app Win/Mac. Sources: sélection micro/caméra. Compteur: temps enregistrement. Upload: sendAudio automatique. UI: minimaliste, un écran. Test: Win + Mac.",Feature,Agilotext
"Upsell Free non intrusif","2025-09-01","","Interstitiel après login (pas avant Record): Annuel pré-sélectionné, lien 'Continuer avec mes 6h gratuites'. Bandeau quota dynamique 'il vous reste Xh' + nudges 80/90/100%. Conversion Free → Payant.",🔥🔥🔥,Florian,À faire,"Interstitiel: après login, non intrusif. Annuel: pré-sélectionné. Bandeau: quota restant dynamique. Nudges: 80%, 90%, 100% quota. Test: conversion Free → Payant.",Marketing,Agilotext
"Tableau Offres & limites (heures/mois) + €/h","2025-08-29","","Rendre l'avantage 34h vs 20h visible (cartes pricing + page comparatif + paywall). €/h calculé et affiché. Comparaison claire entre offres Free, Pro, Business. Transparence tarifs.",🔥🔥🔥,Florian,À faire,"Tableau: comparatif offres. Heures: 6h (Free), 20h (Pro), 34h (Business). €/h: calculé et affiché. Pages: pricing + comparatif. Test: clarté comparaison.",Marketing,Agilotext
"Onboarding express (profil + glossaire + template)","2025-09-01","","4 étapes maximum: (1) Bienvenue & source (d'où venez-vous ?) (2) Nom/Prénom/Société/Participants fréquents (3) Glossaire 5–10 termes (4) Template par défaut + langue → Lancer. Persistance Memberstack & injection prompts. FUSIONNER avec ligne 66 - voir tâche URGENT #4.",🔥🔥🔥,Florian,À faire,"4 étapes: bienvenue, profil, glossaire, template. Persistance: Memberstack custom fields. Injection: prompts avec variables. Test: onboarding complet 4 étapes.",Feature,Agilotext
"Écran Lancement rapide","","","À la fin de l'onboarding: deux grosses cartes 'Enregistrer maintenant' / 'Uploader un audio' (zéro friction). Faciliter démarrage rapide après onboarding. Design: grandes cartes cliquables.",⚡,Florian,À faire,"Écran: après onboarding. Cartes: 'Enregistrer' + 'Uploader'. Design: grandes, cliquables. Friction: zéro, démarrage immédiat. Test: conversion onboarding → action.",Feature,Agilotext
"Page Conformité & consentement","","","Explication claire (hébergement FR, Mistral, anonymisation, rétention, DPA). Lien depuis rappel sous Record & pricing. Transparence données, conformité RGPD.",⚡,Florian,À faire,"Page: conformité + consentement. Contenu: hébergement FR, Mistral, anonymisation, rétention, DPA. Liens: depuis Record + pricing. RGPD: conformité complète.",Légal,Agilotext
"Badge Souverain FR (Mistral)","","","Badge + tooltip sur Business, repris dans rappel consentement. Mettre en avant option souveraine française (Mistral AI). Marketing: différenciation Business.",⚡,Florian,À faire,"Badge: 'Souverain FR' sur Business. Tooltip: explication Mistral AI. Placement: pricing + consentement. Marketing: différenciation Business.",Marketing,Agilotext
"Exports sûrs (diffs & historique)","","","DOCX/PDF avec track-changes optionnel (montrer remplacements), export 'anonymisé' si activé. Historique des versions. Sécurité et traçabilité exports.",⚡,Florian,À faire,"Track-changes: montrer modifications. Export: anonymisé si activé. Historique: versions précédentes. Sécurité: traçabilité exports. Test: exports avec track-changes.",Feature,Agilotext
"Règles de nettoyage réutilisables","","","Sauvegarder un set 'Nettoyage' (ex: 'OK → D'accord', 'uh → euh'), applicable à un transcript ou global compte/équipe. Règles réutilisables pour nettoyage automatique.",⚡,Florian,À faire,"Règles: créer, sauvegarder, réutiliser. Sets: par transcript ou global. Exemples: 'OK → D'accord', 'uh → euh'. Application: automatique ou manuelle. Test: règles réutilisables.",Feature,Agilotext
"Amélioration Wordboost V2","2025-08-28","","Améliorer système WordBoost version 2. Meilleure intégration, performance, interface. À finaliser - en cours depuis août 2025.",🔥🔥🔥,Nicolas,En cours,"WordBoost V2: améliorer système. Intégration: meilleure avec transcription. Performance: optimiser. Interface: améliorer gestion WordBoost. Test: WordBoost V2 complet.",Feature,Agilotext
"Minuscule ⇒ wordboost - Revient en minuscule tout pourquoi ?","2025-09-09","","Corriger bug WordBoost qui remet tout en minuscule. Analyser cause, implémenter correctif. Préserver casse originale selon règles WordBoost. À finaliser - en cours.",🔥🔥🔥,Nicolas,En cours,"Bug: WordBoost remet en minuscule. Cause: analyser logique WordBoost. Correctif: préserver casse originale. Test: WordBoost avec casse préservée.",Bug,Agilotext
"Sauvegarde 30 jours","","","Permettre sauvegarde automatique avec historique 30 jours. Récupération versions précédentes jusqu'à 30 jours. Interface: accès historique sauvegardes.",🔥🔥🔥,Nicolas,À faire,"Sauvegarde: automatique toutes les X minutes. Historique: 30 jours. Récupération: versions précédentes. Interface: accès historique. Test: sauvegarde + récupération.",Feature,Agilotext
"URGENT Concurrencer DicteAI","2025-09-23","","Analyser DicteAI, identifier différenciateurs, implémenter features manquantes pour concurrencer. Priorité selon stratégie marché.",🔥🔥🔥,Florian,À faire,"Analyse: DicteAI features. Différenciateurs: identifier avantages Agilotext. Features: implémenter manquantes. Stratégie: prioriser selon marché. Test: comparaison DicteAI.",Stratégie,Agilotext
"Marketing: conversion & activation suite onboarding","2025-09-24","","Améliorer conversion et activation après onboarding. Emails de suivi, tips, cas d'usage. À finaliser - en cours depuis septembre 2025.",🔥🔥🔥,Florian,En cours,"Conversion: améliorer après onboarding. Emails: suivi, tips, cas d'usage. Activation: encourager première utilisation. Test: taux conversion + activation.",Marketing,Agilotext
"Changer la traduction: Conserver le même language ⇒ mauvais","","","Corriger traduction qui conserve le même language (erreur). Améliorer détection et gestion langues. Interface: sélection langue correcte.",🔥🔥🔥,Nicolas,À faire,"Bug: traduction conserve langue. Correctif: améliorer détection langue. Interface: sélection langue. Test: traduction différentes langues.",Bug,Agilotext
"Créer application - Gérer connexion via DOM Memberstack","","","Créer application (mobile ou desktop) avec gestion connexion via DOM Memberstack. Intégration Memberstack dans app. À définir: mobile (iOS/Android) ou desktop.",🔥🔥🔥,Florian,À faire,"App: créer (mobile ou desktop). Connexion: via DOM Memberstack. Intégration: Memberstack dans app. Plateformes: iOS, Android, ou desktop. Test: connexion app.",Feature,Agilotext
